sample	nil_id	pedigree
PN3_SID199	Zx04102111	Zx.0410_P2_P1_P1.1.1.1
PN3_SID200	Zx04102211	Zx.0410_P2_P2_P1.1.1.1
PN3_SID201	Zx04102212	Zx.0410_P2_P2_P1.2.1.1
PN3_SID202	Zx04102311	Zx.0410_P2_P3_P1.1.1.1
PN3_SID204	Zx04102411	Zx.0410_P2_P4_P1.1.1.1
PN3_SID205	Zx04102412	Zx.0410_P2_P4_P1.2.1.1
PN3_SID206	Zx04102421	Zx.0410_P2_P4_P2.1.1.1
PN3_SID207	Zx04102422	Zx.0410_P2_P4_P2.2.1.1
PN3_SID208	Zx03702111	Zx.0370_P2_P1_P1.1.1.1
PN3_SID209	Zx03702112	Zx.0370_P2_P1_P1.2.1.1
PN3_SID210	Zx03702211	Zx.0370_P2_P2_P1.1.1.1
PN3_SID211	Zx03702212	Zx.0370_P2_P2_P1.2.1.1
PN3_SID212	Zx03702311	Zx.0370_P2_P3_P1.1.1.1
PN3_SID213	Zx03702413	Zx.0370_P2_P4_P1.3.1.1
PN3_SID214	Zx03702511	Zx.0370_P2_P5_P1.1.1.1
PN3_SID215	Zx00401111	Zx.0040_P1_P1_P1.1.1.1
PN3_SID216	Zx00401113	Zx.0040_P1_P1_P1.3.1.1
PN3_SID218	Zx00401411	Zx.0040_P1_P4_P1.1.1.1
PN3_SID219	Zx00401412	Zx.0040_P1_P4_P1.2.1.1
PN3_SID220	Zx01004111	Zx.0100_P4_P1_P1.1.1.1
PN3_SID221	Zx01004112	Zx.0100_P4_P1_P1.2.1.1
PN3_SID222	Zx01004211	Zx.0100_P4_P2_P1.1.1.1
PN3_SID223	Zx01004212	Zx.0100_P4_P2_P1.2.1.1
PN3_SID224	Zx01004311	Zx.0100_P4_P3_P1.1.1.1
PN3_SID225	Zx01004312	Zx.0100_P4_P3_P1.2.1.1
PN3_SID226	Zx01004411	Zx.0100_P4_P4_P1.1.1.1
PN3_SID227	Zx01004412	Zx.0100_P4_P4_P1.2.1.1
PN3_SID228	Zx01004511	Zx.0100_P4_P5_P1.1.1.1
PN3_SID229	Zx01004512	Zx.0100_P4_P5_P1.2.1.1
PN3_SID230	Zx00104112	Zx.0010_P4_P1_P1.2.1.1
PN3_SID231	Zx00104311	Zx.0010_P4_P3_P1.1.1.1
PN3_SID232	Zx00104313	Zx.0010_P4_P3_P1.3.1.1
PN3_SID233	Zx00104411	Zx.0010_P4_P4_P1.1.1.1
PN3_SID234	Zx00104412	Zx.0010_P4_P4_P1.2.1.1
PN3_SID235	Zx00104421	Zx.0010_P4_P4_P2.1.1.1
PN3_SID237	Zx00104424	Zx.0010_P4_P4_P2.4.1.1
PN3_SID238	Zx02202112	Zx.0220_P2_P1_P1.2.1.1
PN3_SID239	Zx02202121	Zx.0220_P2_P1_P2.1.1.1
PN3_SID240	Zx02202123	Zx.0220_P2_P1_P2.3.1.1
PN3_SID241	Zx02202212	Zx.0220_P2_P2_P1.2.1.1
PN3_SID242	Zx02202223	Zx.0220_P2_P2_P2.3.1.1
PN3_SID243	Zx02202311	Zx.0220_P2_P3_P1.1.1.1
PN3_SID244	Zx02202312	Zx.0220_P2_P3_P1.2.1.1
PN3_SID245	Zx02202322	Zx.0220_P2_P3_P2.2.1.1
PN3_SID246	Zx02202411	Zx.0220_P2_P4_P1.1.1.1
PN3_SID247	Zx02202511	Zx.0220_P2_P5_P1.1.1.1
PN3_SID248	Zx02202512	Zx.0220_P2_P5_P1.2.1.1
PN3_SID249	Zx02202513	Zx.0220_P2_P5_P1.3.1.1
PN3_SID250	Zx01301111	Zx.0130_P1_P1_P1.1.1.1
PN3_SID251	Zx01301211	Zx.0130_P1_P2_P1.1.1.1
PN3_SID252	Zx01301212	Zx.0130_P1_P2_P1.2.1.1
PN3_SID253	Zx01301311	Zx.0130_P1_P3_P1.1.1.1
PN3_SID254	Zx01301312	Zx.0130_P1_P3_P1.2.1.1
PN3_SID256	Zx00801111	Zx.0080_P1_P1_P1.1.1.1
PN3_SID257	Zx00801211	Zx.0080_P1_P2_P1.1.1.1
PN3_SID258	Zx00801213	Zx.0080_P1_P2_P1.3.1.1
PN3_SID259	Zx00801311	Zx.0080_P1_P3_P1.1.1.1
PN3_SID260	Zx00801411	Zx.0080_P1_P4_P1.1.1.1
PN3_SID261	Zx01902212	Zx.0190_P2_P2_P1.2.1.1
PN3_SID262	Zx01902411	Zx.0190_P2_P4_P1.1.1.1
PN3_SID263	Zx01902512	Zx.0190_P2_P5_P1.2.1.1
PN3_SID264	Zx01602112	Zx.0160_P2_P1_P1.2.1.1
PN3_SID265	Zx01602121	Zx.0160_P2_P1_P2.1.1.1
PN3_SID266	Zx01602122	Zx.0160_P2_P1_P2.2.1.1
PN3_SID267	Zx01602211	Zx.0160_P2_P2_P1.1.1.1
PN3_SID268	Zx01602212	Zx.0160_P2_P2_P1.2.1.1
PN3_SID269	Zx01602311	Zx.0160_P2_P3_P1.1.1.1
PN3_SID270	Zx01602312	Zx.0160_P2_P3_P1.2.1.1
PN3_SID271	Zx01602321	Zx.0160_P2_P3_P2.1.1.1
PN3_SID272	Zx01602322	Zx.0160_P2_P3_P2.2.1.1
PN3_SID273	Zx01602411	Zx.0160_P2_P4_P1.1.1.1
PN3_SID274	Zx01602412	Zx.0160_P2_P4_P1.2.1.1
PN3_SID275	Zx01602512	Zx.0160_P2_P5_P1.2.1.1
PN3_SID276	Zx01602521	Zx.0160_P2_P5_P2.1.1.1
PN3_SID277	Zx01602522	Zx.0160_P2_P5_P2.2.1.1
PN3_SID278	Zx00902113	Zx.0090_P2_P1_P1.3.1.1
PN3_SID279	Zx00902121	Zx.0090_P2_P1_P2.1.1.1
PN3_SID280	Zx00902122	Zx.0090_P2_P1_P2.2.1.1
PN3_SID281	Zx00902211	Zx.0090_P2_P2_P1.1.1.1
PN3_SID282	Zx00902212	Zx.0090_P2_P2_P1.2.1.1
PN3_SID283	Zx00902221	Zx.0090_P2_P2_P2.1.1.1
PN3_SID284	Zx00902222	Zx.0090_P2_P2_P2.2.1.1
PN3_SID285	Zx00902312	Zx.0090_P2_P3_P1.2.1.1
PN3_SID286	Zx00902411	Zx.0090_P2_P4_P1.1.1.1
PN3_SID287	Zx00902412	Zx.0090_P2_P4_P1.2.1.1
PN3_SID288	Zx00902511	Zx.0090_P2_P5_P1.1.1.1
PN4_SID289	Zx00902512	Zx.0090_P2_P5_P1.2.1.1
PN4_SID290	Zx03402111	Zx.0340_P2_P1_P1.1.1.1
PN4_SID291	Zx03402112	Zx.0340_P2_P1_P1.2.1.1
PN4_SID292	Zx03402121	Zx.0340_P2_P1_P2.1.1.1
